Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of rplMp by DksA-ppGpp	rplMp	-	rpsI // rplM	b3230 // b3231
Regulation of rplMp by DNA-binding transcriptional dual regulator Fis	rplMp	-	rpsI // rplM	b3230 // b3231
Regulation of rplMp by DNA-binding transcriptional dual regulator FNR	rplMp	-	rpsI // rplM	b3230 // b3231
Regulation of rplNp by DksA-ppGpp	rplNp	-	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	b3299 // b3300 // b3301 // b3302 // b3303 // b3304 // b3305 // b3306 // b3307 // b3308 // b3309 // b3310
Regulation of rplTp by DNA-binding transcriptional dual regulator FNR	rplTp	-	pheM // rplT	b1715 // b1716
Regulation of rplUp by DksA-ppGpp	rplUp	-	obgE // yhbE // rpmA // rplU	b3183 // b3184 // b3185 // b3186
Regulation of rplUp by DNA-binding transcriptional activator MlrA	rplUp	+	obgE // yhbE // rpmA // rplU	b3183 // b3184 // b3185 // b3186
Regulation of rplVp by DksA-ppGpp	rplVp	-	rplY	b2185
Regulation of rpmBp by DksA-ppGpp	rpmBp	-	mutM // rpmG // rpmB	b3635 // b3636 // b3637
Regulation of rpmEp2 by ppGpp	rpmEp2	-	rpmE	b3936
Regulation of rpmIp by DksA-ppGpp	rpmIp	-	rplT // rpmI	b1716 // b1717
Regulation of rpoEp by DksA-ppGpp	rpoEp	+	rseC // rseB // rseA // rpoE	b2570 // b2571 // b2572 // b2573
Regulation of rpoEp by ppGpp	rpoEp	+	rseC // rseB // rseA // rpoE	b2570 // b2571 // b2572 // b2573
Regulation of rpoEp by RNA polymerase-binding transcription factor DksA	rpoEp	+	rseC // rseB // rseA // rpoE	b2570 // b2571 // b2572 // b2573
Regulation of rpoEp1b by DNA-binding transcriptional dual regulator IHF	rpoEp1b	-	rseD // rseC // rseB // rseA // rpoE	b4725 // b2570 // b2571 // b2572 // b2573
Regulation of rpoEp2a by DksA-ppGpp	rpoEp2a	+	rseC // rseB // rseA // rpoE	b2570 // b2571 // b2572 // b2573
Regulation of rpoEp2a by ppGpp	rpoEp2a	+	rseC // rseB // rseA // rpoE	b2570 // b2571 // b2572 // b2573
Regulation of rpoEp2a by RNA polymerase-binding transcription factor DksA	rpoEp2a	+	rseC // rseB // rseA // rpoE	b2570 // b2571 // b2572 // b2573
Regulation of rpoHp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	rpoHp1	+	rpoH	b3461
Regulation of rpoHp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	rpoHp2	+	rpoH	b3461
Regulation of rpoHp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp3	-	rpoH	b3461
Regulation of rpoHp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp3	-	rpoH	b3461
Regulation of rpoHp3 by DNA-binding transcriptional repressor CytR	rpoHp3	-	rpoH	b3461
Regulation of rpoHp3 by DNA-binding transcriptional repressor CytR	rpoHp3	-	rpoH	b3461
Regulation of rpoHp3 by DnaA-ATP	rpoHp3	-	rpoH	b3461
Regulation of rpoHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp4	-	rpoH	b3461
Regulation of rpoHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp4	-	rpoH	b3461
Regulation of rpoHp4 by DNA-binding transcriptional repressor CytR	rpoHp4	-	rpoH	b3461
Regulation of rpoHp4 by DNA-binding transcriptional repressor CytR	rpoHp4	-	rpoH	b3461
Regulation of rpoHp4 by DnaA-ATP	rpoHp4	-	rpoH	b3461
Regulation of rpoHp4 by DnaA-ATP	rpoHp4	-	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	-	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	+	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	+	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	+	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	-	rpoH	b3461
Regulation of rpoHp5 by DNA-binding transcriptional repressor CytR	rpoHp5	-	rpoH	b3461
Regulation of rpoHp5 by DNA-binding transcriptional repressor CytR	rpoHp5	-	rpoH	b3461
Regulation of rpoHp6 by DNA-binding transcriptional dual regulator IHF	rpoHp6	+	rpoH	b3461
Regulation of rpoSp by antitoxin of the MqsRA TA system / DNA-binding transcriptional repressor MqsA	rpoSp	-	rpoS	b2741
Regulation of rpoSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoSp	-	rpoS	b2741
Regulation of rpoSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoSp	-	rpoS	b2741
Regulation of rpoSp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rpoSp	-	rpoS	b2741
Regulation of rpoSp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rpoSp	-	rpoS	b2741
Regulation of rpoSp by DNA-binding transcriptional dual regulator GadX	rpoSp	+	rpoS	b2741
Regulation of rpoSp by ppGpp	rpoSp	-	rpoS	b2741
Regulation of rpoSp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	rpoSp	-	rpoS	b2741
Regulation of rpoSp1 by DksA-ppGpp	rpoSp1	+	rpoS	b2741
Regulation of rpoZp by DksA-ppGpp	rpoZp	-	rpoZ // spoT // trmH // recG	b3649 // b3650 // b3651 // b3652
Regulation of rprAp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	rprAp	+	rprA	b4431
Regulation of rprAp by DNA-binding transcriptional dual regulator RcsB-phosphorylated	rprAp	+	rprA	b4431
Regulation of rpsAp1 by DksA-ppGpp	rpsAp1	-	ihfB // rpsA	b0912 // b0911
Regulation of rpsAp3 by DksA-ppGpp	rpsAp3	-	ihfB // rpsA	b0912 // b0911
Regulation of rpsBp by ppGpp	rpsBp	-	tff // rpsB // tsf	b4414 // b0169 // b0170
Regulation of rpsFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpsFp	+	rpsF // priB // rpsR // rplI	b4200 // b4201 // b4202 // b4203
Regulation of rpsJp by DksA-ppGpp	rpsJp	-	rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	b3311 // b3312 // b3313 // b3314 // b3315 // b3316 // b3317 // b3318 // b3319 // b3320 // b3321
Regulation of rpsJp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rpsJp	-	rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	b3311 // b3312 // b3313 // b3314 // b3315 // b3316 // b3317 // b3318 // b3319 // b3320 // b3321
Regulation of rpsJp by DNA-binding transcriptional dual regulator FNR	rpsJp	+	rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	b3311 // b3312 // b3313 // b3314 // b3315 // b3316 // b3317 // b3318 // b3319 // b3320 // b3321
Regulation of rpsLp by DksA-ppGpp	rpsLp	-	tufA // fusA // rpsG // rpsL	b3339 // b3340 // b3341 // b3342
Regulation of rpsMp2 by DksA-ppGpp	rpsMp2	-	rplQ // rpoA // rpsD // rpsK // rpsM	b3294 // b3295 // b3296 // b3297 // b3298
Regulation of rpsOp by ppGpp	rpsOp	-	rpsO // pnp	b3165 // b3164
Regulation of rpsPp by DksA-ppGpp	rpsPp	-	rplS // trmD // rimM // rpsP	b2606 // b2607 // b2608 // b2609
Regulation of rpsPp by DNA-binding transcriptional dual regulator FNR	rpsPp	-	rplS // trmD // rimM // rpsP	b2606 // b2607 // b2608 // b2609
Regulation of rpsTp1 by DksA-ppGpp	rpsTp1	-	rpsT	b0023
Regulation of rpsTp2 by DksA-ppGpp	rpsTp2	-	rpsT	b0023
Regulation of rpsUp2 by DksA-ppGpp	rpsUp2	-	rpsU // dnaG // rpoD	b3065 // b3066 // b3067
Regulation of rpsUp3 by DNA-binding transcriptional repressor LexA	rpsUp3	-	rpsU // dnaG // rpoD	b3065 // b3066 // b3067
Regulation of rrsAp by DksA-ppGpp	rrsAp	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis	rrsAp	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis	rrsAp	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis	rrsAp	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis	rrsAp	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsAp	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsAp	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by ppGpp	rrsAp	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp by RNA polymerase-binding transcription factor DksA	rrsAp	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DksA-ppGpp	rrsAp1	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Fis	rrsAp1	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Fis	rrsAp1	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Fis	rrsAp1	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Fis	rrsAp1	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsAp1	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsAp1	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by NhaR-Na+ DNA-binding transcriptional activator	rrsAp1	+	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by ppGpp	rrsAp1	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp1 by RNA polymerase-binding transcription factor DksA	rrsAp1	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsAp2 by NhaR-Na+ DNA-binding transcriptional activator	rrsAp2	-	rrfA // rrlA // alaT // ileT // rrsA	b3855 // b3854 // b3853 // b3852 // b3851
Regulation of rrsBp by DksA-ppGpp	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator Fis	rrsBp	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator Fis	rrsBp	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator Fis	rrsBp	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator H-NS	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator H-NS	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator H-NS	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by ppGpp	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp by RNA polymerase-binding transcription factor DksA	rrsBp	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DksA-ppGpp	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Fis	rrsBp1	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Fis	rrsBp1	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Fis	rrsBp1	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator H-NS	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator H-NS	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator H-NS	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by NhaR-Na+ DNA-binding transcriptional activator	rrsBp1	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by ppGpp	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp1 by RNA polymerase-binding transcription factor DksA	rrsBp1	-	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsBp2 by NhaR-Na+ DNA-binding transcriptional activator	rrsBp2	+	rrfB // rrlB // gltT // rrsB	b3971 // b3970 // b3969 // b3968
Regulation of rrsCp by DksA-ppGpp	rrsCp	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by DNA-binding transcriptional dual regulator Fis	rrsCp	+	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by DNA-binding transcriptional dual regulator Fis	rrsCp	+	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by DNA-binding transcriptional dual regulator Fis	rrsCp	+	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by DNA-binding transcriptional dual regulator H-NS	rrsCp	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsCp	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by ppGpp	rrsCp	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp by RNA polymerase-binding transcription factor DksA	rrsCp	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by DksA-ppGpp	rrsCp1	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by DNA-binding transcriptional dual regulator Fis	rrsCp1	+	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by DNA-binding transcriptional dual regulator Fis	rrsCp1	+	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by DNA-binding transcriptional dual regulator Fis	rrsCp1	+	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by DNA-binding transcriptional dual regulator H-NS	rrsCp1		rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsCp1	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by NhaR-Na+ DNA-binding transcriptional activator	rrsCp1	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by ppGpp	rrsCp1	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp1 by RNA polymerase-binding transcription factor DksA	rrsCp1	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsCp2 by NhaR-Na+ DNA-binding transcriptional activator	rrsCp2	-	rrfC // rrlC // gltU // rrsC	b3759 // b3758 // b3757 // b3756
Regulation of rrsDp by DksA-ppGpp	rrsDp	-	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis	rrsDp	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis	rrsDp	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis	rrsDp	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis	rrsDp	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis	rrsDp	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator H-NS	rrsDp	-	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by DNA-binding transcriptional dual regulator Lrp-L-leucine	rrsDp	-	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by ppGpp	rrsDp	-	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp by RNA polymerase-binding transcription factor DksA	rrsDp	-	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp1 by DksA-ppGpp	rrsDp1	-	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp1 by DNA-binding transcriptional dual regulator Fis	rrsDp1	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp1 by DNA-binding transcriptional dual regulator Fis	rrsDp1	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp1 by DNA-binding transcriptional dual regulator Fis	rrsDp1	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
Regulation of rrsDp1 by DNA-binding transcriptional dual regulator Fis	rrsDp1	+	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
